,GEBRUIK,TT,UF,BT,RT,CBS English,NT,Historische notitie,Scope notitie
flora,999,natuur en milieu,planten,natuur,999,flash annulment,"wieren, vaatplanten, schimmels, paddenstoelen, mossen",999,999
flora- en faunawet,999,natuur en milieu,999,"wetten, natuurbeleid",999,Flora and Fauna Act,999,999,999
flyers,snelle groeiers,999,999,999,999,999,999,999,999
fondsen,999,macro-economie,999,financiële markten,999,funds,"vastgoedfondsen, beleggingsfondsen",999,999
fondsenwervende goededoeleninstellingen,goede doelen,999,999,999,999,999,999,999,999
Food and Agriculture Organization,FAO,999,999,999,999,999,999,999,999
forensen,woonwerkverkeer,999,999,999,999,999,999,999,999
forensisme,woonwerkverkeer,999,999,999,999,999,999,999,999
forenzen,woonwerkverkeer,999,999,999,999,999,999,999,999
fosfaatplafond,fosfaten,999,999,999,999,999,999,999,999
fosfaatproductie,fosfaten,999,999,999,999,999,999,999,999
fosfaatuitscheiding,fosfaten,999,999,999,999,999,999,999,999
fosfaten,999,natuur en milieu,"fosfaatuitscheiding, fosfaatproductie, fosfaatplafond",mineralen,999,999,fosfor,999,999
fosfor,999,natuur en milieu,999,fosfaten,999,phosphorus,999,999,999
fossiele brandstoffen,fossiele energiedragers,999,999,999,999,999,999,999,999
fossiele energiedragers,999,industrie en energie,"natuurlijke hulpbronnen, fossiele brandstoffen",brandbare energiedragers,999,fossil energy carriers,"vaste brandstoffen, aardgas",999,999
foto's,beeldbank,999,999,999,999,999,999,999,999
Frankrijk,999,geografie,999,"Europese Unie, Europa, EMU",999,France,999,999,999
fraude,bedrog,999,999,999,999,999,999,999,999
freelancer,zzp,999,999,999,999,999,999,999,999
frequente aankopen,dagelijkse levensbehoeften,999,999,999,999,999,999,999,999
Friesland,999,overheid en politiek,999,Nederland,999,Friesland,Leeuwarden,999,999
fröbelschool,kleuteronderwijs,999,999,999,999,999,999,999,999
fruit,999,diensten,"vruchten, fruithandel",voedingsmiddelen,999,fruit,999,999,999
fruitboomgaarden,999,landbouw en visserij,999,fruitteelt,999,fruit orchards,999,999,999
fruithandel,fruit,999,999,999,999,999,999,999,999
fruitteelt,999,landbouw en visserij,999,tuinbouw,999,fruit farming,"wijnbouw, fruitboomgaarden",999,999
FSS,landbouwtelling,999,999,999,999,999,999,999,999
full-timers,voltijdbanen,999,999,999,999,999,999,999,999
fulltime banen,voltijdbanen,999,999,999,999,999,999,999,999
fulltimers,voltijdbanen,999,999,999,999,999,999,999,999
functie,999,arbeid en sociale zekerheid,999,arbeidspositie,999,function,"uitvoerend werk, leidinggevend",999,999
fusies,999,bedrijven,samenvoeging,bedrijvendynamiek,999,mergers,999,999,999
fysieke arbeidsbelasting,999,arbeid en sociale zekerheid,999,arbeidsbelasting,999,physical workload,999,999,999
fysieke veiligheid,999,veiligheid en recht,999,veiligheid,999,physical safety,999,999,999
fysiotherapeut,fysiotherapie,999,999,999,999,999,999,999,999
fysiotherapie,999,zorg en gezondheid,fysiotherapeut,gezondheidszorgpraktijken,999,physiotherapy,999,999,999
gaafmaken,999,statistische methoden,999,databewerking,999,validation,999,999,999
gamen,999,recreatie en cultuur,999,hobby,999,gaming ,999,999,999
gas,aardgas,999,999,999,999,999,999,999,999
gas en elektriciteit,energieuitgaven,999,999,999,999,999,999,999,999
gas en licht,energieuitgaven,999,999,999,999,999,999,999,999
gascentrales,elektriciteitsproductie,999,999,999,999,999,999,999,999
gasolie,999,industrie en energie,dieselolie,zware olie,999,gasoil,999,999,999
gasproductie,999,industrie en energie,999,energieproductie,aardgas,natural gas production,999,999,999
gast,gasten,999,999,999,999,999,999,999,999
gasten,999,recreatie en cultuur,gast,toeristen,999,guests,999,999,999
gasthuis,ziekenhuizen,999,999,999,999,999,999,999,999
gasverbruik,999,industrie en energie,aardgasverbruik,energieverbruik,aardgas,gas consumption,999,999,999
gazelles,snelle groeiers,999,999,999,999,999,999,999,999
GBA,Basisregistratie Personen,999,999,999,999,999,999,999,999
GBO,gebruiksoppervlakte,999,999,999,999,999,999,999,999
gbp,bbp,999,999,999,999,999,999,999,999
gebiedsindelingen,regionale indelingen,999,999,999,999,999,999,999,999
geboorte-interval,999,bevolking,999,geboorten,999,birth interval,999,999,999
geboortebeperking,anticonceptie,999,999,999,999,999,999,999,999
geboortecijfer,geboorten,999,999,999,999,999,999,999,999
geboortecohort,999,bevolking,geboortegeneratie,cohort,generatie,birth cohort,999,999,999
geboortegeneratie,geboortecohort,999,999,999,999,999,999,999,999
geboortegewicht,999,bevolking,999,geboorten,999,birth weight,999,999,999
geboorteland,999,bevolking,999,herkomstgroepering,999,country of birth,999,999,999
geboorten,999,bevolking,"nakomelingen, geboortes, geboortecijfer, baby's, baby",bevolkingsontwikkeling,999,births,"vruchtbaarheid, schrikkeljaar, meervoudige geboorten, levendgeborenen, geboortegewicht, geboorte-interval, enkelvoudige geboorten, echtelijke geboorte, doodgeborenen, buitenechtelijke geboorten",999,999
geboorteoverschot,999,bevolking,999,bevolkingsgroei,999,natural increase,999,999,999
geboorteregeling,999,zorg en gezondheid,999,gezondheidszorg,999,birth control ,"zwangerschappen, anticonceptie, abortus",999,999
geboortes,geboorten,999,999,999,999,999,999,999,999
geboorteverlof,kraamverlof,999,999,999,999,999,999,999,999
geboortezorg,999,zorg en gezondheid,999,gezondheidszorg,999,perinatal care,"verloskundige zorg, kraamzorg",999,999
gebouwde omgeving,bebouwing,999,999,999,999,999,999,999,999
gebroken gezin,eenoudergezin,999,999,999,999,999,999,999,999
gebroken heup,999,zorg en gezondheid,999,ziekten,999,broken hip ,999,999,999
gebruiksoppervlak zelfstandige woningen,gebruiksoppervlakte,999,999,999,999,999,999,999,999
gebruiksoppervlakte,999,bouwen en wonen,"gebruiksoppervlak zelfstandige woningen, GBO",grootte van de woning,999,usable area,woonoppervlakte,999,999
gecombineerde inrichtingen,gecombineerde penitentiaire inrichting,999,999,999,999,999,999,999,999
gecombineerde penitentiaire inrichting,999,veiligheid en recht,gecombineerde inrichtingen,penitentiaire inrichtingen,999,mixed detention centre,999,999,999
gedaagde,verdachten,999,999,999,999,999,999,999,999
gedetacheerden,999,arbeid en sociale zekerheid,detachering,flexwerkers,999,seconded staff,999,999,999
gedetineerde,gedetineerden,999,999,999,999,999,999,999,999
gedetineerden,999,veiligheid en recht,"gevangenen, gedetineerde",rechtsbescherming,daders,detainees,TBS-passant,999,999
gediplomeerden,afgestudeerden,999,999,999,999,999,999,999,999
gedragscode,999,CBS corporate termen,999,bedrijfsvoering,999,code of conduct,999,999,999
gedrukte publicaties,publicaties,999,999,999,999,999,999,999,999
gedwongen huwelijk,999,bevolking,999,huwelijken,999,forced marriage,999,999,999
geëlektrificeerd spoorwegnet,999,verkeer en vervoer,999,spoorwegennet,999,electrified rail network,999,999,999
geestelijke gezondheid,999,zorg en gezondheid,999,gezondheid,geestelijke gezondheidszorg,mental health  ,psychische gezondheidsklachten,999,999
geestelijke gezondheidszorg,999,zorg en gezondheid,GGZ,gezondheidszorg,"psychiatrische ziekenhuizen, geestelijke gezondheid",mental health care,curatieve ggz,999,999
gegevensbestanden,999,statistische methoden,statistische bestanden,data-uitwisseling,999,datasets,"sociaal statistisch bestand, microdata",999,999
gehandicapten,handicaps,999,999,999,999,999,999,999,999
gehandicaptenvervoer,999,verkeer en vervoer,999,personenvervoer,999,disabled transportation,999,999,999
gehandicaptenvervoermiddelen,999,verkeer en vervoer,999,voertuigenpark,999,modes of disabled transportation,999,999,999
gehandicaptenzorg,999,zorg en gezondheid,999,gezondheidszorg,handicaps,care for the disabled,999,999,999
geharmoniseerd systeem,999,internationale handel,999,internationale handel,999,harmonised system,999,999,999
geharmoniseerde consumentenprijsindex,999,prijzen,"hicp, Europees geharmoniseerde consumentenprijsindex",consumentenprijzen,999,Harmonised index of consumer prices (HICP),geharmoniseerde consumentenprijsindex constante belastingen,999,999
geharmoniseerde consumentenprijsindex constante belastingen,999,prijzen,hicp-ct,geharmoniseerde consumentenprijsindex,999,HICP at constant tax rates,999,999,999
gehuchten,999,bouwen en wonen,999,landelijk gebied,999,hamlets,999,999,999
gehuwd,999,bevolking,wettig gehuwd,burgerlijke staat,999,married,999,999,999
gehuwd paar,gehuwde partners,999,999,999,999,999,999,999,999
gehuwde partners,999,bevolking,gehuwd paar,partners,999,married couple,999,999,999
geïntegreerde bestrijding,999,landbouw en visserij,999,bestrijdingsmiddelen,999,integrated pest control,999,999,999
geiten,999,landbouw en visserij,999,graasdieren,999,goats,999,999,999
geld- en kapitaalmarkt,999,macro-economie,999,financiële markten,999,money and capital markets,"kapitaalmarkt, geldmarkt",999,999
geldboete,999,veiligheid en recht,boete,straf,999,pecuniary penalty,999,999,999
Gelderland,999,overheid en politiek,999,Nederland,999,Gelderland,"Nijmegen, Arnhem",999,999
geldmarkt,999,macro-economie,999,geld- en kapitaalmarkt,999,money market,999,999,999
geldontwaarding,inflatie,999,999,999,999,999,999,999,999
geloof,religie,999,999,999,999,999,999,999,999
geloofsovertuiging,religie,999,999,999,999,999,999,999,999
geluidshinder,999,natuur en milieu,999,milieuhinder,schiphol,noise pollution,999,999,999
geluk,geluksgevoel,999,999,999,999,999,999,999,999
gelukkig,geluksgevoel,999,999,999,999,999,999,999,999
geluksgevoel,999,zorg en gezondheid,"tevredenheid, subjectief welzijn, gelukkig, geluk",beleving,999,happiness,999,999,999
gemeenschappelijk landbouwbeleid,999,landbouw en visserij,"GLB, Europees landbouwbeleid",landbouw,999,Common Agricultural Policy (CAP),"landbouwsubsidies, landbouwheffingen",999,999
gemeenschappelijk visserijbeleid,999,landbouw en visserij,GVB,visserij,999,Common Fisheries Policy (CFP),999,999,999
gemeenschappelijke gezondheidsdienst,GGD,999,999,999,999,999,999,999,999
gemeenschappelijke regelingen,999,overheid en politiek,999,decentrale overheid,999,common arrangements,999,999,999
gemeente,gemeenten,999,999,999,999,999,999,999,999
gemeentearchief,999,recreatie en cultuur,gemeentesecretarie,archieven,999,municipal archive,999,999,999
gemeentebegrotingen,999,overheid en politiek,999,gemeentefinanciën,999,municipal budgets,999,999,999
gemeentebelastingen,999,overheid en politiek,gemeentelijke heffingen,lokale belastingen,999,municipal taxes,"toeristenbelasting, onroerendezaakbelasting",999,999
gemeentefinanciën,999,overheid en politiek,gemeenterekeningen,overheidsfinanciën,999,municipal finance,gemeentebegrotingen,999,999
gemeentefonds,999,overheid en politiek,999,Algemene Uitkeringen,999,municipal fund,999,999,999
gemeentelijk afval,999,natuur en milieu,999,afval,999,municipal waste,999,999,999
Gemeentelijke Basis Administratie,Basisregistratie Personen,999,999,999,999,999,999,999,999
gemeentelijke gezondheidsdienst,GGD,999,999,999,999,999,999,999,999
gemeentelijke heffingen,gemeentebelastingen,999,999,999,999,999,999,999,999
gemeentelijke herindeling,999,overheid en politiek,999,overheidsorganisatie,999,gemeentelijke herindeling,999,999,999
gemeentemusea,999,recreatie en cultuur,999,musea,999,municipal museums,999,999,999
gemeenten,999,regionale indelingen,gemeente,"regionale indelingen, decentrale overheid",999,municipalities,999,999,999
gemeenteraad,999,overheid en politiek,999,volksvertegenwoordiging,999,municipal council ,999,999,999
gemeenteraadsverkiezingen,999,overheid en politiek,999,verkiezingen,999,municipal elections,999,999,999
gemeenterekeningen,gemeentefinanciën,999,999,999,999,999,999,999,999
gemeentesecretarie,gemeentearchief,999,999,999,999,999,999,999,999
gemengde bedrijven,999,landbouw en visserij,combinatiebedrijven,landbouwbedrijven,999,mixed farms,999,999,999
gemengde huwelijken,999,bevolking,999,partnerkeuze,999,mixed marriages,999,999,999
gemengde leerweg,999,onderwijs,999,vmbo,999,combined programme (gl),999,999,999
gemiddelde arbeidsduur,999,arbeid en sociale zekerheid,999,arbeidsduur,999,average weekly working hours,999,999,999
gemiddelde bevolking,999,bevolking,999,inwoners,999,average population ,999,999,999
gemiddelde inkoopwaarde,999,bedrijven,999,inkoopwaarde,999,average purchase price,999,999,999
gemiddelde verpleegduur,999,zorg en gezondheid,999,ziekenhuisopnames,999,average hospital stay,999,999,999
gemiddelde woningwaarde,woningwaarde,999,999,999,999,999,999,999,999
gemoedsbezwaarden,999,zorg en gezondheid,999,onverzekerden,999,conscientious objectors,999,999,999
gemotoriseerd,motorvoertuigen,999,999,999,999,999,999,999,999
gender,geslacht,999,999,999,999,999,999,999,999
Geneeskundige Hulp bij Ongevallen en Rampen,GHOR,999,999,999,999,999,999,999,999
Geneeskundige Hulpverleningsorganisatie in de regio,GHOR,999,999,999,999,999,999,999,999
geneesmiddelen,999,zorg en gezondheid,"medicijnen, medicamenten",gezondheidszorg,999,medication,"voorgeschreven geneesmiddelen, soorten geneesmiddelen, niet-voorgeschreven geneesmiddelen",999,999
geneesmiddelen op recept,voorgeschreven geneesmiddelen,999,999,999,999,999,999,999,999
geneesmiddelengebruik,999,zorg en gezondheid,"medicijngebruik, hooikoortsindex",zorggebruik,999,use of medicines,999,999,999
generatie,999,bevolking,999,bevolkingskenmerken,"levensloop, geboortecohort",generation ,999,999,999
generatie-overlevingstafels,999,bevolking,999,overlevingstafels,999,generation life tables,999,999,999
geodata,999,technologie,999,ICT,regionale indelingen,geodata,999,999,999
geografie,999,999,999,999,regionale indelingen,geography,"politieke indelingen, Oceanië, geografische indelingen, geografische begrippen, Europa, Azië, Amerika, Afrika",999,Een geografische schema van de wereld
geografische begrippen,999,geografie,999,geografie,999,geographical concepts,"schaalvergroting, oppervlakte, land van herkomst, globalisering, afstand",999,999
geografische indelingen,999,geografie,999,geografie,regionale indelingen,geographical subdivisions,Midden- en Oost-Europa,999,999
georganiseerde reis,999,recreatie en cultuur,999,vakantiekenmerken,999,organised trip,999,999,999
geothermie,diepe bodemenergie,999,999,999,999,999,999,999,999
geothermische energie,diepe bodemenergie,999,999,999,999,999,999,999,999
gepromoveerden,hoger opgeleiden,999,999,999,999,999,999,999,999
gerecht,gerechtshof,999,999,999,999,999,999,999,999
gerechtelijke procedure,999,veiligheid en recht,999,rechtsbescherming,999,legal proceedings,"voorlopige hechtenis, vervolging, uitspraak, tenuitvoerlegging, sanctie, royement, rechtszitting, rechtsmiddelen, procespartij, proces-verbaal, opsporing, kort geding, gratieverlening, eerste aanleg, dagvaardingsprocedure, dagvaarding, bodemprocedure, berechting, afdoening door het Openbaar Ministerie, afdoening door de rechter, aanhouding, aanhangige zaak, aangifte",999,999
gerechtsdeurwaarders,999,diensten,999,rechtskundige dienstverlening,999,bailiffs,999,999,999
gerechtshof,999,veiligheid en recht,gerecht,rechtsprekende organen,999,court,ressorten,999,999
gereedgekomen woningen,nieuwbouwwoningen,999,999,999,999,999,999,999,999
geregistreerd partnerschap,geregistreerde partnerschappen,999,999,999,999,999,999,999,999
geregistreerd werkloosheidspercentage,999,arbeid en sociale zekerheid,werkloosheidspercentage,werkloosheid,999,registered unemployment rate,999,999,999
geregistreerde bevolking,werkelijke bevolking,999,999,999,999,999,999,999,999
geregistreerde criminaliteit,criminaliteit,999,999,999,999,999,999,999,999
geregistreerde partnerschappen,999,bevolking,"partnerschapsregistratie, geregistreerd partnerschap",partners,999,registered partnerships,999,999,999
geregistreerde werklozen,werkloosheid,999,999,999,999,999,999,999,999
gereisde kilometers,ritkilometers,999,999,999,999,999,999,999,999
geriatrische revalidatiezorg,999,zorg en gezondheid,999,revalidatiezorg,999,geriatric rehabilitation,999,999,999
gescheiden,999,bevolking,999,burgerlijke staat,999,divorced,999,999,999
gescheiden afval,999,natuur en milieu,"scheiden van afval, afvalscheiding",afval,999,separated waste,"plasticafval, oud papier, metaalafval, glasafval, GFT",999,999
geschiedenis,999,CBS corporate termen,999,CBS corporate termen,999,history,999,999,999
geslaagden,afgestudeerden,999,999,999,999,999,999,999,999
geslacht,999,bevolking,"sexe, sekse, gender",bevolkingskenmerken,999,gender ,"vrouw, man",999,999
geslachtsverhouding,999,bevolking,"sekseverhouding, sekse-ratio",stand van de bevolking,999,gender ratio,999,999,999
gesubsidieerde rechtsbijstand,999,veiligheid en recht,999,rechtsbijstand,999,subsidised legal aid,999,999,999
getal der bevolking,inwoners,999,999,999,999,999,999,999,999
getelde bevolking,feitelijke bevolking,999,999,999,999,999,999,999,999
getijde-energie,999,industrie en energie,getijdenenergie,hernieuwbare energie,999,tidal energy,999,999,999
getijdenenergie,getijde-energie,999,999,999,999,999,999,999,999
geurhinder,999,natuur en milieu,"stankhinder, stank",milieuhinder,999,stench nuisance,999,999,999
gevaarlijk afval,999,natuur en milieu,999,afval,999,toxic waste,999,999,999
gevaarlijke stoffen,999,verkeer en vervoer,999,goederenclassificaties,999,toxic substances,"RID, IMO, ADR",999,999
gevangenen,gedetineerden,999,999,999,999,999,999,999,999
gevangenis,gevangenissen,999,999,999,999,999,999,999,999
gevangenissen,999,veiligheid en recht,gevangenis,penitentiaire inrichtingen,999,prisons,999,999,999
gevangenisstraf,999,veiligheid en recht,999,straf,999,prison sentence,999,999,999
gevangeniswezen,penitentiaire inrichtingen,999,999,999,999,999,999,999,999
gevestigde staatsschuld,999,overheid en politiek,999,staatsschuld,999,long term government debt,999,999,999
gewasbescherming,999,landbouw en visserij,gewasbeschermingsmethoden,landbouwgewassen,999,crop protection,"mechanische bestrijding, biologische bestrijding, bestrijdingsmiddelen",999,999
gewasbeschermingsmethoden,gewasbescherming,999,999,999,999,999,999,999,999
gewasbeschermingsmiddelen,bestrijdingsmiddelen,999,999,999,999,999,999,999,999
gewassen,gewassoorten,999,999,999,999,999,999,999,999
gewassoorten,999,landbouw en visserij,"landbouwrassen, gewassen",landbouwgewassen,999,crop species,999,999,999
geweld,geweldsmisdrijf,999,999,999,999,999,999,999,999
geweldsmisdrijf,999,veiligheid en recht,geweld,misdrijven,999,violent crime,"zinloos geweld, seksuele misdrijven, mishandeling, mensenhandel, huiselijk geweld, diefstal met geweld, bedreiging, afpersing",999,999
gewenste arbeidsduur,999,arbeid en sociale zekerheid,999,arbeidsduur,999,number of weekly working hours wanted,999,999,999
gewerkte uren,999,arbeid en sociale zekerheid,999,arbeidsduur,999,hours worked,uitzenduren,999,999
gewone rechtsmiddelen,999,veiligheid en recht,gewoon rechtsmiddel,rechtsmiddelen,999,ordinary remedies,"hoger beroep, cassatie, bezwaarschrift",999,999
gewoon rechtsmiddel,gewone rechtsmiddelen,999,999,999,999,999,999,999,999
gewrichtsreuma,999,zorg en gezondheid,999,reumatische aandoeningen,999,arthritis,999,999,999
gezin,gezinnen,999,999,999,999,999,999,999,999
gezinnen,999,bevolking,"meerpersoonshuishouden met kinderen, huishouden met paar met kinderen, gezin",meerpersoonshuishouden,999,families,"uithuisgaan, tweeoudergezin, thuiswonend kind, stiefoudergezin, samengesteld gezin, lege-nestfase, eenoudergezin",999,999
gezinsarbeid,gezinsarbeidskrachten,999,999,999,999,999,999,999,999
gezinsarbeidskrachten,999,arbeid en sociale zekerheid,"meewerkend gezinslid, gezinsarbeid",zmp,familiebedrijven,family labour force,999,999,999
gezinshereniging,999,bevolking,nareizigers,immigratie,volgmigratie,family reunion,gezinsvorming,999,999
gezinsinkomen,huishoudinkomen,999,999,999,999,999,999,999,999
gezinsverzorging,999,zorg en gezondheid,999,thuiszorg,999,family care,999,999,999
gezinsvorming,999,bevolking,999,gezinshereniging,999,family formation,999,999,999
gezonde levensverwachting,999,zorg en gezondheid,999,kwaliteit van leven,levensverwachting,healthy life expectancy,999,999,999
gezondheid,999,zorg en gezondheid,gezondheidstoestand,zorg en gezondheid,gezondheidszorg,health,"ziekten, welzijn, volksgezondheid, orgaandonatie, leefstijl, geestelijke gezondheid, classificatiesystemen gezondheid",999,999
gezondheidscentrum,gezondheidszorgpraktijken,999,999,999,999,999,999,999,999
gezondheidsmeting,999,zorg en gezondheid,999,preventieve zorg,999,health measurement,cholesterolgehalte,999,999
gezondheidstoestand,gezondheid,999,999,999,999,999,999,999,999
gezondheidszorg,999,zorg en gezondheid,999,zorg,gezondheid,health care ,"ziekenhuiszorg, revalidatiezorg, preventieve zorg, ouderenzorg, mondzorg, medisch specialistische zorg, intramurale gezondheidszorg, huisartsenzorg, geneesmiddelen, gehandicaptenzorg, geestelijke gezondheidszorg, geboortezorg, geboorteregeling, extramurale gezondheidszorg, e-health, alternatieve geneeskunde",999,999
gezondheidszorgpraktijken,999,zorg en gezondheid,gezondheidscentrum,zorgaanbod,999,health care practices,"verpleegkundige, verloskundige, tandarts, medisch specialist, huisarts, fysiotherapie, consultatiebureaus",999,999
GFT,999,natuur en milieu,999,gescheiden afval,plantaardig afval,"vegetable, fruit and garden waste",999,999,999
GGD,999,zorg en gezondheid,"gemeentelijke gezondheidsdienst, gemeenschappelijke gezondheidsdienst",zorgondersteuning,999,municipal health services,999,999,999
GGZ,geestelijke gezondheidszorg,999,999,999,999,999,999,999,999
GHOR,999,veiligheid en recht,"Geneeskundige Hulpverleningsorganisatie in de regio, Geneeskundige Hulp bij Ongevallen en Rampen",veiligheidsketen,999,medical services for accidents and disasters (GHOR),999,999,999
"glas, aardewerk, cement-, kalk- en gipsproducten",999,industrie en energie,999,industrie,999,"glass, ceramics, cement, lime and gypsum products","glasindustrie, cementindustrie, aardewerkindustrie",999,999
glasafval,999,natuur en milieu,999,gescheiden afval,999,glass waste,999,999,999
glasgroententeelt,glastuinbouw,999,999,999,999,999,999,999,999
glasindustrie,999,industrie en energie,999,"glas, aardewerk, cement-, kalk- en gipsproducten",999,glass industry,999,999,999
glastuinbouw,999,landbouw en visserij,"kastuinbouw, glasgroententeelt",tuinbouw,999,horticulture,999,999,999
GLB,gemeenschappelijk landbouwbeleid,999,999,999,999,999,999,999,999
globalisering,999,geografie,mondialisering,geografische begrippen,"offshoring, multinationals",globalisation,internationalisering,999,999
godsdienst,religie,999,999,999,999,999,999,999,999
godsdienstig,religie,999,999,999,999,999,999,999,999
goede doelen,999,inkomen en vermogen,fondsenwervende goededoeleninstellingen,schenkingen,999,charities,999,999,999
goederenclassificaties,999,verkeer en vervoer,goederensoort,goederenvervoer,999,goods classification,"NSTR, NST2007, gevaarlijke stoffen, afvaltransport",999,999
goederenexport,uitvoer van goederen,999,999,999,999,999,999,999,999
goederenimport,invoer van goederen,999,999,999,999,999,999,999,999
goedereninvoer,invoer van goederen,999,999,999,999,999,999,999,999
goederennaamlijst NSTR,NSTR,999,999,999,999,999,999,999,999
goederenoverslag,goederenvervoer,999,999,999,999,999,999,999,999
goederensoort,goederenclassificaties,999,999,999,999,999,999,999,999
goederenstromen,999,verkeer en vervoer,999,goederenvervoer,999,goods flows,"transitoverkeer, derde landenvervoer, cabotage, bilateraal vervoer, aan-, af- en doorvoer",999,999
goederenuitvoer,uitvoer van goederen,999,999,999,999,999,999,999,999
goederenvervoer,999,verkeer en vervoer,"vrachtvervoer, goederenoverslag, beroepsgoederenvervoer",vervoer,999,goods transport,"intermodaal vervoer, goederenstromen, goederenclassificaties",999,999
goederenvervoerbedrijven,999,verkeer en vervoer,"transportsector, transporteurs, transportbedrijven, transport",vervoerbedrijven,logistiek,freight operators,eigen rijders,999,999
gokken,999,zorg en gezondheid,999,leefstijl,999,gamble,999,999,999
golf,999,recreatie en cultuur,999,buitensporten,999,golf ,999,999,999
golfbanen,golfterrein,999,999,999,999,999,999,999,999
golfterrein,999,recreatie en cultuur,golfbanen,sportaccommodaties,999,golf course,999,999,999
graasdierbedrijven,999,landbouw en visserij,999,veehouderij,graasdieren,grazing livestock farms,"opstallen, beweiding",999,999
graasdieren,999,landbouw en visserij,999,veestapel,"opstallen, graasdierbedrijven, beweiding",grazing livestock,"schapen, paarden, koeien, geiten",999,999
grasland,999,landbouw en visserij,999,landbouwgronden,999,grasslands,999,999,999
gratieverlening,999,veiligheid en recht,999,gerechtelijke procedure,999,pardon,"voorwaardelijke gratieverlening, onvoorwaardelijke gratieverlening, Gratiewet",999,999
Gratiewet,999,wet- en regelgeving,999,"wetten, gratieverlening",999,Dutch Pardons Act,999,999,999
grensarbeid,grensarbeiders,999,999,999,999,999,999,999,999
grensarbeiders,999,arbeid en sociale zekerheid,"grensoverschrijdende arbeid, grensarbeid",werknemers,grensoverschrijdende statistieken,cross-border worker,999,999,999
grenslogies,999,veiligheid en recht,999,penitentiaire inrichtingen,999,border accommodation,999,999,999
grensoverschrijdende arbeid,grensarbeiders,999,999,999,999,999,999,999,999
grensoverschrijdende statistieken,999,regionale indelingen,999,regionale indelingen,grensarbeiders,cross-border statistics,999,999,999
Griekenland,999,overheid en politiek,999,"Europese Unie, Europa, EMU",999,Greece,999,999,999
griepprik,griepvaccinatie,999,999,999,999,999,999,999,999
griepvaccinatie,999,zorg en gezondheid,griepprik,vaccinaties,999,flu vaccination,999,999,999
grijze druk,vergrijzing,999,999,999,999,999,999,999,999
groene belastingen,milieuheffingen,999,999,999,999,999,999,999,999
groene druk,999,bevolking,999,demografische druk,999,green pressure,999,999,999
groene groei,duurzaamheid,999,999,999,999,999,999,999,999
groente,999,diensten,"groentewinkel, groenteman",voedingsmiddelen,groenteteelt,vegetables,999,999,999
groenteman,groente,999,999,999,999,999,999,999,999
groenteteelt,999,landbouw en visserij,999,tuinbouw,groente,vegetable cultivation,999,999,999
groentewinkel,groente,999,999,999,999,999,999,999,999
groepsaccommodaties,999,recreatie en cultuur,999,logiesaccommodaties,999,group accommodation ,jeugdaccommodaties,999,999
grond- weg- en waterbouw,999,bouwen en wonen,GWW,bouw,999,civil and hydraulic engineering ,999,999,999
grondgebruik,bodemgebruik,999,999,999,999,999,999,999,999
grondwaterbelasting,999,natuur en milieu,999,milieukosten,ontvangen belastingen,ground water tax ,999,999,999
Groningen,999,overheid en politiek,999,Groningen,999,Groningen,999,999,De stad.
Groot-Brittannië,Verenigd Koninkrijk,999,999,999,999,999,999,999,999
grootbedrijf,grote bedrijven,999,999,999,999,999,999,999,999
groothandel,999,diensten,999,handel,999,wholesale,999,999,999
grootstedelijke agglomeraties,stedelijke agglomeraties,999,999,999,999,999,999,999,999
grootte van de woning,999,bouwen en wonen,woninggrootte,woningkwaliteit,999,size of dwelling ,gebruiksoppervlakte,999,999
grootteklasse,999,bedrijven,999,bedrijfsomvang,999,company size class,"zelfstandigen, midden- en kleinbedrijf, grote bedrijven",999,999
grootwinkelbedrijf,999,diensten,warenhuizen,detailhandel,999,999,999,999,999
grote bedrijven,999,bedrijven,"top 100 bedrijven, grote ondernemingen, grootbedrijf",grootteklasse,999,large companies ,999,999,999
grote ondernemingen,grote bedrijven,999,999,999,999,999,999,999,999
GVB,gemeenschappelijk visserijbeleid,999,999,999,999,999,999,999,999
GWW,grond- weg- en waterbouw,999,999,999,999,999,999,999,999
gymnasium,999,onderwijs,999,vwo,999,gymnasium school,999,999,999
Haags adoptieverdrag,999,veiligheid en recht,999,adopties,999,Hague Adoption Convention,999,999,999
Haarlem,999,overheid en politiek,999,Noord-Holland,999,Haarlem,999,999,999
habitatrichtlijn,999,natuur en milieu,999,natuurbeleid,999,Habitat Directive,999,999,999
hacken,hacking,999,999,999,999,999,999,999,999
hacking,999,veiligheid en recht,hacken,cybercrime,999,hacking,999,999,999
HALT,999,veiligheid en recht,"Het ALTernatief, bureau HALT",Organisaties gerelateerd aan Veiligheid en Recht,999,HALT prevention of juvenile crime,stopreactie,999,999
Halt-jongeren,999,veiligheid en recht,999,jeugdcriminaliteit,999,Halt juveniles,999,999,999
halt-waardig delict,999,veiligheid en recht,999,overtredingen,999,juvenile offence qualifying for Halt,999,999,999
handel,999,diensten,999,diensten,999,trade,"groothandel, detailhandel, autobranche",999,999
handelsbalans,999,macro-economie,"handelstekort, handelssaldo, handelsoverschot, dekkingspercentage uitvoer",lopende rekening,internationale handel,trade balance,999,999,999
handelsbelemmeringen,999,internationale handel,999,internationale handel,999,trade barriers,"importheffingen, handelsembargo",999,999
handelsembargo,999,internationale handel,999,handelsbelemmeringen,999,trade embargo,999,999,999
